GBPU Name,2018 Population Estimate,2018 Estimated Bear Density,2018 Conservation Concern Rank
Alta,132,10.0,M3: Moderate
Babine,313,22.8,M3: Moderate
Blackwater-West Chilcotin,53,2.4,M3: Moderate
Bulkley-Lakes,439,19.7,M3: Moderate
Cassiar,611,17.1,M5: Very Low
Central Monashee,147,23.5,M2: High
Central Rockies,169,27.9,M4: Low
Central Selkirk,188,34.5,M3: Moderate
Central-South Purcells,176,15.8,M2: High
Columbia-Shuswap,318,25.2,M2: High
Cranberry,352,30.7,M4: Low
Edziza-Lower Stikine,398,29.4,M5: Very Low
Finlay-Ospika,971,32.5,M5: Very Low
Flathead,140,40.2,M2: High
Francois,58,7.5,M2: High
Garibaldi-Pitt,3,0.5,M1: Extreme
Hart,244,12.5,M3: Moderate
Hyland,231,13.4,M5: Very Low
Kettle-Granby,87,13.3,M2: High
Khutzeymateen,277,38.4,M4: Low
Kingcome-Wakeman,199,41.0,M4: Low
Kitlope-Fiordland,214,23.1,M4: Low
Klinaklini-Homathko,251,20.3,M4: Low
Knight-Bute,250,46.6,M4: Low
Kwatna-Owikeno,229,24.8,M4: Low
Moberly,71,9.4,M2: High
Muskwa,840,23.9,M5: Very Low
Nation,170,9.7,M3: Moderate
North Cascades,6,0.6,M1: Extreme
North Coast,190,30.4,M3: Moderate
North Purcells,332,38.6,M3: Moderate
North Selkirk,265,48.9,M3: Moderate
Nulki,44,2.7,M2: High
Omineca,402,14.0,M5: Very Low
Parsnip,455,42.6,M5: Very Low
Quesnel Lake North,187,21.5,M3: Moderate
Robson,534,28.4,M3: Moderate
Rockies Park Ranges,116,20.2,M2: High
Rocky,538,14.3,M3: Moderate
South Chilcotin Ranges,222,11.7,M3: Moderate
South Rockies,170,21.2,M2: High
South Selkirk,58,14.3,M2: High
Spatsizi,666,31.9,M5: Very Low
Squamish-Lillooet,46,9.3,M2: High
Stein-Nahatlatch,22,2.9,M1: Extreme
Stewart,358,40.3,M5: Very Low
Taiga,94,1.9,M4: Low
Taku,576,20.8,M5: Very Low
Tatshenshini,407,28.1,M4: Low
Toba-Bute,130,20.9,M4: Low
Tweedsmuir,368,22.1,M5: Very Low
Upper Skeena-Nass,755,46.9,M5: Very Low
Valhalla,88,25.5,M2: High
Wells Gray,345,24.8,M4: Low
Yahk,20,7.4,M2: High
,14925,22.0,